X,Y,bio1,bio3,bio7,bio12
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
147.14228,-36.98542,9.408354,40.790546,23.0895,1292.0
148.383556,-36.365017,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.384034,-36.365579,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.38396,-36.365174,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.382837,-36.364682,6.881583,42.268078,23.133,1544.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.450743,-35.999643,8.269542,41.030262,23.858,1440.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.459266,-36.005833,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459123,-36.004022,6.928167,41.78015,23.69975,1647.0
148.461089,-36.009624,6.928167,41.78015,23.69975,1647.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.461089,-36.009624,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461089,-36.009624,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461473,-36.009952,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.461473,-36.009952,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461727,-36.009264,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.461854,-36.009001,6.928167,41.78015,23.69975,1647.0
148.459452,-36.002648,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.472661,-36.019732,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.471019,-36.004202,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.459399,-36.00639,6.928167,41.78015,23.69975,1647.0
148.467196,-36.000859,6.928167,41.78015,23.69975,1647.0
148.467196,-36.000859,6.928167,41.78015,23.69975,1647.0
148.471019,-36.004202,6.928167,41.78015,23.69975,1647.0
148.467196,-36.000859,6.928167,41.78015,23.69975,1647.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.451335,-35.999862,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.402171,-35.951305,8.269542,41.030262,23.858,1440.0
148.467196,-36.000859,6.928167,41.78015,23.69975,1647.0
148.402171,-35.951305,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.402171,-35.951305,8.269542,41.030262,23.858,1440.0
148.402171,-35.951305,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.402171,-35.951305,8.269542,41.030262,23.858,1440.0
148.402171,-35.951305,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.402171,-35.951305,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
148.398003,-35.950119,8.269542,41.030262,23.858,1440.0
